QoS,station,code,latitude,longitude,revision,PM10,CO,Pb,C2H3NO5,CFCs,H2CO,O3,TEMP,NOx,SO2,NH3,CH4,PRES,PM2.5,PAHs
0.0,86.0,90.0,42.819,47.1192,1582848000.0,1.1963425500158194,0.8165897816173395,0.09554398782896331,1.3818046703442028,0.8028313519233585,0.425662502867066,0.7924677039055044,-0.481159616568287,1.843975763637751,2.3454793961988196,-2.437120207525626,2.5092389428911535,0.457829141060441,0.9253178421403717,-0.5787359673308264
0.0,573.0,47.0,3.31332,117.59152,1661904000.0,-0.5492621837878375,-2.3377507063624052,-0.9423619122030764,-0.6455858068691062,-0.42778022848316555,0.10622185418038103,-1.1471920758286358,0.31478345819002485,0.30269459339525967,0.9304687329867708,-0.45741499019440157,0.09830037011633287,1.1204390153374788,0.7677927098772183,0.8048789864076801
3.0,469.0,52.0,36.92574,14.72443,1661817600.0,0.7843115032786854,0.3834816528243028,-0.2814698947672086,0.8817956452292556,0.005084892615253723,1.9827687276455068,1.2347797021550637,2.109967049042889,-1.0172105859112215,-0.7157172819027054,0.3499846175659905,1.0097381883927714,0.04717585418203738,0.6870386967320095,-0.38562982955822084
1.0,288.0,37.0,53.7446,-0.33525,1644019200.0,-0.7896199662669482,0.9392727708891879,1.7451944840548377,-1.0435750884253414,-0.7864320292897709,0.9256127158061133,-0.6965194750802224,-0.12005765772542272,0.08075381633203498,1.527744195149166,-1.1820124042197722,0.3343566602937035,-0.6267312543844131,1.1783152871158695,0.7266904553523089
1.0,600.0,11.0,-21.44345,-65.71875,1452556800.0,0.02814160938600496,-1.256764665418081,-1.4921390768101386,-0.3789500282886143,-1.2514590434798758,-1.0887912217770237,0.818922301688915,-0.294988805320355,-1.0036859752576828,-0.46303073738531414,-0.11876856377861432,-0.7773320239968233,0.06777874751486333,1.4251375728642224,0.5942081462163558
1.0,374.0,36.0,43.61092,3.87723,1603238400.0,0.10242940502564483,0.438441484916675,-1.8542351439079006,0.0382314425000208,-0.28735655112557856,-0.45010583944681737,1.0757785895703758,-0.011504958150633054,-1.7225780314726562,0.43525148592475976,-0.00015586212663722763,0.26044223822227985,1.3291744187073706,-0.9305685283491241,-1.8397358884048507
5.0,138.0,90.0,58.1908,40.17171,1653696000.0,0.08230451158231288,1.5732541655390933,-0.41603223399134376,-0.13748200461310295,0.37259152416064084,0.3168617471030002,-1.9449793453859536,0.6066445266314725,0.3460822705254061,0.640217568259073,-1.160863126628719,-0.9098418169331576,-0.27356466787122163,-0.6868087199410604,-0.6161988853840954
4.0,384.0,101.0,13.8196,100.04427,1602288000.0,-0.38279920690317554,0.1400142685887377,-1.8872996621887177,-0.5874413181174349,0.7424610836865069,1.034640608134167,0.6343490993623617,-1.639248176000875,0.43838446045918145,-1.541419221192811,1.0148173457851353,-0.14947956708512572,-0.30093489272163726,-1.00916374599216,-1.5090844569397692
3.0,51.0,16.0,0.49113,29.47306,1660521600.0,0.8713461211906236,0.3448537078955721,-1.1156547058197177,0.9877170451044,-0.11365838759181311,2.9389543411432473,-1.1950900707618854,-0.4238497381894826,-0.2836038339889298,-0.8844981792552965,-1.011703908030411,-0.1308794952097555,-0.28305766589376197,-1.2775405170645282,-1.6763318894382893
4.0,425.0,58.0,43.41949,77.0202,1622851200.0,0.6897530275660441,1.6851817671596576,0.45015321422584137,0.7363221633508057,0.14757469714522298,0.6958660326778258,0.06725768925027563,-0.7784444180222782,-0.11480338021690377,-1.2233294542070756,-0.7143186079193077,-0.4592216367785989,0.23208914045310025,1.6125595126051335,-0.30905680765227267
2.0,239.0,2.0,40.49748,44.7662,1436140800.0,-0.6931409101721558,-0.4860844805829175,0.5862538899192833,-0.998251984288287,-0.3522017884524556,0.09808708692994232,-1.0352683805245322,0.17228065119692956,0.5525116000232746,-0.29297036387867376,0.23098768299644892,-0.10380250059585618,0.3162635504497051,-0.32829805294079073,0.6365387094845504
4.0,622.0,52.0,38.07789,13.44275,1624233600.0,0.6077068478084062,0.9564694627900371,-1.2245252067048822,0.6084582337410008,0.7776270600954979,0.38232234873658855,1.0758095547648165,0.616123302975475,0.39312088654934885,-0.8893461943702512,0.9434433368268005,-0.8029628544483167,-0.6076548268074352,0.7433681979747354,0.6187469910742469
